sha,name,package,certificate,filters,activities,receivers,services,permissions,http,hosts,domains,dns,fileswritten,cryptousage,filesread,sendsms,sendnet,recvnet
9935e278c405781ff6093fead6422510dcb2f5063d1f3041dcce77a8b7cc00b0,成人快播,com.yr.sx,454677D3,20,23,4,7,29,2,6,3,6,22,0,18,0,2,1
acba8d96ab07a66a536f2c3304709c3d5d28e2a2e693e272e74e6a7c274084f6,成人快播,com.yr.sx,211D6101,20,23,4,7,29,2,6,3,6,22,0,18,0,2,2
80de8fbdd6114fcd1154ecc87e8c27b213b62722a14655d2e36399f9a71f3339,成人快播,com.yr.sx,6D8318DB,20,23,4,7,29,3,5,3,6,15,0,16,0,3,4
29bfeee14c78b813f54f3d0df91094473ef21754bb0c3790d827513e5502e00e,Egegey,com.androids.update,4FA1A9F1,2,1,1,1,12,0,0,0,0,0,0,2,0,0,0
4d0f3c5519b5c4985fa50a3210bbf1a5b9af5f25ee75c0f1b7e324636179c65d,FIFA12,com.ea.game.fifa12_na1450173136,197B8444,5,2,3,2,13,0,0,0,0,3,0,5,0,0,0
6d09b57c3af73a84c696730766eef8e2d0e834257ddf45236d9fba1efc9656dc,Эротика-молодые-1,erotikamolodyeinstallator.html.app,6BA85466,5,1,5,2,15,0,0,1,24,3,0,2,0,0,0
f28ca6fa077279536b342d32864cb01089fe5b31d5744423713080dae444544a,成人快播,com.yr.sx,55447D21,20,23,4,7,29,3,5,3,6,18,0,18,0,2,3
1b516511c449190b9ea1ab210fa76f57e02bdb0922f041fe598abcdc3abbf77f,Adult Fiction Stories,com.aries.adultfictionstories,4E6E729D,2,5,5,1,11,6,2,1,4,13,0,39,0,6,6
d5837ed9464b6bfc9a22288d70984aac0863bb7de07470ca05b6a81d5ca243bf,成人快播,com.yr.sx,0E8D056C,20,23,4,7,29,3,6,3,6,21,0,21,0,3,2
59cd8abebbdb7f4688e14cd0ff05d8eca7b3e8d04bd4900bf217e437ab81670e,成人快播,com.yr.sx,69546E24,20,23,4,7,29,2,6,3,6,22,0,19,0,2,2
99cf38ee98b8ec0270714218f263e14bb6b7849713dc492e3658f6512837d6f7,成人快播,com.yr.sx,20C43844,20,23,4,7,29,3,5,3,6,17,0,17,0,3,3
00129f74031a5c052a15d2627e5b564b4e039e7dcb06736a2cf973252bb29e28,Autorun Manager Pro,com.rs.autorun.pro,BFA5A25B50063208,8,2,2,2,15,1,1,1,2,1,0,1,0,1,1
86aaf1494aaea74a55d4f7eccf1830a2f84a2e5b895cc76ef1ee6d986e422037,Установка,ngjvnpslnp.iplhmk,4E4C147D,3,1,2,1,17,1,1,1,2,6,6,5,0,1,1
8529090da5f361382ce17c589bc5e0128873869d08399c9d15c9d5d39fc57c6e,Bandwidth Meter,com.monitor.bandwidth19,7089E9BF,8,18,5,6,28,6,1,1,2,27,0,3,0,6,7
9c191be8fc86c29a069fd1f4dee8908802d9807cf87b5e512cc95eb0e6be4417,羞羞视频,com.iurx.fdio.byiw,6E0365E1,29,12,9,10,27,13,3,3,8,5,3,2,0,12,13
e61463010234810de7f728055d8972f33e8e50256c190efde7144e91a5ae797e,成人快播,com.yr.sx,50719122,20,23,4,7,29,2,6,3,6,21,0,18,0,2,2
14cb76d75bde74477240e5c1ab011397335d476685c5536fcfa3d82af6af2802,成人快播,com.yr.sx,133EC1D9,20,23,4,7,29,5,3,3,6,20,0,25,0,5,7
536e8dd766201c882cf45f0370b7d87cd5e967f7950a005272dccd1a3110de9c,成人快播,com.yr.sx,2FA96A21,20,23,4,7,29,3,3,3,6,20,0,31,0,3,4
