sha,name,label,labelnames,filters,activities,receivers,services,permissions,http,hosts,domains,dns,fileswritten,cryptousage,filesread,sendsms,sendnet,recvnet
00c0ccd37e09067a5ba096d70d38ec189b1339fb2a3bd5b3e55884256a368ed2,"Porn XXX Player",139,"RansomwareTest 2_fakeInstallers",8,5,2,7,18,1,1,1,2,7,0,3,0,1,0
00c8eeb004976cc21199b3e6b807d52f9792dbec0d83a8f5f940e5275ef4a206,"Panathinaikos Nea",113,LeadBolt_AirPush.Adware,2,12,3,1,17,6,4,4,8,1,0,8,0,3,4
00cd3920bdccf1f1c098671380bfba90979eecd98e18e064858512b69de2b4a6,女优影院,147,Skymobi,3,18,2,4,22,4,3,4,11,3,0,1,0,4,4
00ce97614c58cc66b1c8ce7ce2a94159ecf3e0d7ad1a07d691130543c172173c,rivWeddingPhotoFrame,24,AirPush.Adware,2,5,1,1,14,0,0,0,0,4,0,3,0,0,0
00d0f90a28f8f3210756a9a9fb2f191a92a735745f7d2890fefe6b4f4083b6e1,FlvPlayer,140,RussianFakeIns_FakeInstaller_fakeInstallers,4,1,3,0,10,0,0,0,0,0,20,3,0,0,0
00d1294743b0aa452d4304963e789b6b357e81fc6ed55ce6e39d515cf8443d08,色影快播,48,"Chineseporn_Info Leakage_Skymobi",15,22,2,5,24,3,2,3,20,8,0,9,0,3,3
00d1bf7240b1e6e6c01c97812fb080ea8c6d6f861e19f63d0605bca7b4be610f,Installer,108,Installer,1,1,0,0,4,0,0,0,0,1,0,2,0,0,0
00d33174136f99e466126e9296e1a72ce9d1e53093b41d4393db730c47267a20,专用播放器,50,Chineseporn_PaymentSMS,5,3,3,5,32,7,5,3,6,7,0,2,0,7,6
00d9d7670069f7114928391db60b4e2892138466be66e96afface05f8a62a155,私密快播,38,"ChinesePorn2_Chinese porn4",34,13,9,10,33,21,8,8,18,41,15,15,0,21,54
00dd4d7fe052e82f0b53d745a924cf2ef9b61d0f6068f6e28ce98dd2c3868e3f,Обновление,141,RussianFakeInstaller,2,1,1,1,5,0,0,0,0,1,0,2,2,0,0
