sha,name,package,certificate,filters,activities,receivers,services,permissions,http,hosts,domains,dns,fileswritten,cryptousage,filesread,sendsms,sendnet,recvnet
677ba468b630f9b5e6e50d6239445febf153b6162124b3d930e7c26097e45907,Download,bc.android.install,019C5F95,1,2,0,1,23,0,0,1,16,0,2,2,0,0,0
677c89e35ae758790ec0d7bd1a2650d65cb9922e2a0a266dd8750c1518ce3ef7,刻录炼金师,com.qidian.QDReader_C1113381,4E239460,15,100,1,7,33,5,3,4,8,1,7,5,0,5,5
677f202948fa800370e07aa8495d0df13c4da032705b2b264153a697c1e2b631,倾欲视频,com.fcus.asln.uldv,6E0365E1,32,14,10,11,29,0,0,0,0,0,0,2,0,0,0
678300a0dd3d8de97344b23aec1198ae8255e2a451ba3c9a5f1b090591370390,Мобильный Агент 2.2.295 для Android,mobileagent.html.app,6BA85466,5,1,5,2,14,4,1,1,4,6,0,5,0,2,2
67836a335d4429c8f70ea936e2f90e38714a826c8d454baed5b7e6de1391ecc8,Установка,ngjvnpslnp.iplhmk,4E4C147D,3,1,2,1,17,1,1,1,2,6,6,5,0,1,1
678d5af41052044d3ad3d6cbf29e7c001c4aad506c19419c31db6547d9d8b1b7,Танчики-Х,xgqkjm.bfveeopo,4E4C147D,4,1,3,1,19,1,1,1,2,6,8,5,0,1,1
678dffbad9324ceb15f7f9ea4dddd685d73ccfb725db6e1b74830928b0b6d327,Qvod快播,com.rjzv.vzap.kpfr,6E0365E1,32,13,10,11,29,0,0,0,0,0,0,2,0,0,0
678e69966b1227c3c6c785578c17b9e812830cf7878ce13355c530ad96244e4d,私人影院,com.xbsa.kgfp.tdnn,6E0365E1,32,13,10,11,29,0,0,0,0,0,0,2,0,0,0
678fe4e027fc4a8aff54da40442ae0894f803d8c51a6dfec889e1a34b12f9d2a,Установка,net.os.android,4E868DEC,6,4,4,2,13,0,0,1,8,2,2,1,0,0,0
67905cbdb4256877904d1af9cbb5e9e0b5a0d6f1c5443136f356bc048aaf54e8,제이씨텍,com.example15449183.urlink,5AA22123,3,7,5,4,16,9,1,3,12,34,0,3,0,8,8
6790ce88a1d7fc5a7d0416bd6a23887f9bfd64cc49791ba339d1291ad3682c90,私人影院,com.zguo.xain.elon,6E0365E1,32,13,10,11,29,0,0,0,0,0,0,2,0,0,0
67958b85de7c922116387f60555a7cd3dd7422cd4650224f2f9646d3ddf0c634,Qvod快播,com.ifda.isaw.jcdw,6E0365E1,32,13,10,11,29,0,0,0,0,0,0,2,0,0,0
67960c5643f8f8e98c88c51df70ef0577d3f2f4502324d53461c09d3148bfd6e,Vk Market,com.wVkMarket,533CED25,6,17,3,2,8,10,5,5,14,8,0,12,0,10,10
6799ef34c7de9e39772a752f28db26bdb083fb44ac4d31300e57b749f34eefef,Any Cut,com.appdroid.anycut,936EACBE07F201DF,9,10,1,2,22,0,0,0,0,0,0,1,0,0,0
679fb30205f85c83e42d02f17910d84c801adf416b0e44a2cb77aa63911caaee,Zagruzki_3gp_jpg_mp3,com.agewap.soft,4F03D114,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0
679fdac491ff9b80c9776c117cbe1a2d0639a2b46665f9665692ad82bfb27ef0,mozilla,com.androids.update,4FA1A9F1,2,1,1,1,12,0,0,0,0,0,0,2,0,0,0
67a0cc77cea8ca9dcc27858a37cea546a84d0ebd07ead21fc9d4ec5f02442c8f,Qvod快播,com.pjhp.mskk.nrlx,6E0365E1,32,13,10,11,29,0,0,0,0,0,0,2,0,0,0
67a3466b6c0e2a5dc93f89cfeb4e10b793bdf5d3910c8f358273184fcac71fe6,Install,com.android.app,4E868DEC,6,4,4,2,12,0,0,1,8,2,1,1,0,0,0
67a355f2ed329664bfe02488f1e2a41be7139a9e1cb0b3b64fa5f2d65fc84f0c,OperaSetup,ru.agewap.my,4F03D114,1,1,0,0,5,0,0,0,0,1,0,1,2,0,0
67a481504224d279b3bb4b18aa77546b43290243bf97f58e5b4181b072d4f3e4,Vigilantes Seguridad Privada,com.wVigilantesSeguridadPrivada,533CED25,5,17,3,2,7,9,30,36,76,9,0,11,0,6,6
67a53ca35660ad422c71bdbde5ff4985554bdf497afd27a07063af1b3e1a76d7,Contacts Backup & Restore,com.copy.contact,936EACBE07F201DF,3,2,1,1,11,0,0,0,0,0,0,1,0,0,0
67a70506c71692fe29b0b5faba971ea1873fb72224aa90104ae8002de9a1ee96,폭행몬스터,com.gggg.ggggpokhangmonster,BFA5A25B50063208,8,27,1,1,14,9,6,6,12,18,41,8,0,5,6
67a85793e37f869e93f85637e9af15547965a47567a90eef68938eccdba0b7b7,Установка приложения,com.maxart.registration,50EDF548,1,3,0,0,15,0,0,0,0,0,0,1,0,0,0
67a946856669d20854b49a61f31cfb9c9cd4f49ea51005ca5d246128ed3cf5fd,Rolik_45,ovbknnfm.xwscmnoi,518BBDFF,5,1,4,0,13,0,0,1,8,0,25,4,0,0,0
67aae0cec48bdb8d17cb9ef77d94095a6022a2d13a3d178aa8ffe1aba93d9b06,Установка,com.android.appupdate,4E868DEC,6,4,4,2,13,0,0,1,8,2,2,1,0,0,0
67abf51401e6cf3893970e9022341d2dd6dedf31865776e7e256cdfce675245c,porno_smaloletkoy,com.androids.update,4FA1A9F1,2,1,1,1,6,0,0,0,0,0,0,2,0,0,0
67ac5be742a4c35f0c0d7e3846805e478d661036df6384c87d100e2142e2cd3d,异界吕布之最强龙骑,com.qidian.QDReader_C1253808,4E239460,15,100,1,7,33,5,3,4,10,1,7,5,0,5,5
67ae347e8eb3403e63bd00293144dec1afc645f0adae985153416e19f3cc706d,Icy-Tower-2-Temple-Jump,rpyhwytfysl.uikbvktgwp,518BBDFF,4,1,3,0,10,0,0,0,0,1,20,3,0,0,0
67b39258d56a8b8b20ef6974c9efac88d8d41725446211b1be9b5f2bf3a7eeef,私人影院,com.ftgy.tbrd.fbuv,6E0365E1,32,13,10,11,29,0,0,0,0,0,0,2,0,0,0
67b3cd8e9f8a3514d3aa1d95d584acaaaac59155d0032c0e2c760d22e008ad69,FlvPlayer,xgikgppv.ceqodeg,4E4C147D,6,1,5,1,27,0,0,1,8,0,23,4,0,0,0
67b403d554f8f08ac10f79e7ab1c94ee6fb3953bb62b4e42127a191f747c3241,install,com.termate,4FA1A9F1,1,2,0,0,9,0,0,0,0,1,0,1,0,0,0
