sha,name,package,certificate,filters,activities,receivers,services,permissions,http,hosts,domains,dns,fileswritten,cryptousage,filesread,sendsms,sendnet,recvnet
015a14a785a307555f038df66ae66145424a15303061e15aa67943ca3fe9ca28,Google App Store,me.jingqian.mix,53481C3E,9,1,4,1,22,0,1,0,0,3,0,5,0,0,0
015e2cfad2daa90f6e2a39e6ff991ab1a5c4cb6ec75c0441f81c6761d506354f,Hungarian Chinese,chi.hun.dictionary,4C54FE6C,1,11,0,0,5,4,3,3,6,12,2,32,0,2,4
015fb4a9435f790d5eface26f1180e17954ea8294fd6492eb03aa2106d12978f,Run Like Hell!,com.masscreation.rlh,BFA5A25B50063208,12,14,3,3,13,2,4,3,10,12,0,6,0,9,2
01732580a282bf1547f8384a160f701ade99b0fb26000221197eea3d8c6f97e1,我的文档,li.po.p.zd.xc.s,6AC26340,5,2,3,3,10,0,0,0,0,0,0,3,1,0,0
0173f43e6d407b02d7880d0a709a66e4e7d0c20b30a467edf275b4892fa3a3a0,xgfytr-hbmnbmh,com.yi.hkj.mnbhk.jhkjds.trijl,6C4F1015,7,2,4,2,12,0,0,0,0,2,2,3,0,0,0
0175341e66658e922c181a044eca00665ceebb6ccbe44060ec3ce5c723a09933,صور مكياج وميك اب 2015 روعه,tete.miciage,340EAEE5,2,4,2,3,5,34,12,12,26,55,28,46,0,22,49
017e91e3db1ce61fd4cc4da366afab7e3a230888f77471b5d21eabb1b210c45e,Glu金币修改器,com.thirdmoney.crack,F2F62401EB3370E2,7,4,1,1,16,9,2,2,6,3,0,8,0,9,1
01826a18f4ad29ad3ea4c8836466b1d3780a3dfe103b0a0793f2edaf0fa37ca5,资料,com.itcast.cn112,0C526537,10,8,5,2,17,0,0,0,0,0,0,3,1,0,0
018d2d9e47e0098121512e4374fdb154aafcc6dd7a476aaebca0ba434a2fd6ba,相 片,m.sx.cs.vd,440C8E80,5,2,3,4,10,0,0,0,0,0,0,3,1,0,0
0193154103581c8e497560d372b08933325908632563de4222864a2fd42be601,3D暴力摩托,com.igameincap.DeathMoto3D,4E9FB947,4,12,1,1,12,0,0,0,0,0,0,3,0,0,0
